,0
688,28
689,14
690,16
691,11
692,11
693,0
694,11
695,5
696,4
697,4
698,4
699,14
700,25
701,11
702,7
703,16
704,0
705,11
706,25
707,25
708,25
709,14
710,24
711,11
712,11
713,11
714,11
715,4
716,14
717,11
718,11
719,14
720,25
721,25
722,11
723,14
724,11
725,4
726,16
727,14
728,9
729,11
730,11
731,16
732,0
733,14
734,16
735,25
736,25
737,26
738,26
739,26
740,11
741,5
742,0
743,0
744,25
745,16
746,14
747,11
748,7
749,4
750,11
751,14
752,7
753,14
754,26
755,26
756,3
757,16
758,16
759,16
760,16
761,16
762,16
763,14
764,16
765,11
766,25
767,14
768,4
769,14
770,5
771,16
772,16
773,28
774,4
775,5
776,17
777,17
778,5
779,19
780,24
781,24
782,24
783,16
784,16
785,4
786,11
787,16
788,18
789,14
790,16
791,28
792,16
793,16
794,18
795,11
796,19
797,4
798,16
799,18
800,28
801,16
802,0
803,0
804,28
805,4
806,11
807,11
808,16
809,11
810,11
811,14
812,14
813,16
814,16
815,1
816,28
817,11
818,16
819,3
820,5
821,11
822,14
823,7
824,1
825,11
826,11
827,25
828,3
829,14
830,14
831,11
832,11
833,11
834,22
835,1
836,28
837,16
838,16
839,14
840,0
841,14
842,4
843,4
844,16
845,9
846,5
847,11
848,14
849,4
850,16
851,11
852,16
853,4
854,28
855,11
856,11
857,25
858,11
859,11
860,4
861,7
862,16
863,16
864,16
865,25
866,5
867,11
868,28
869,25
870,25
871,16
872,14
873,14
874,16
875,14
876,11
877,16
878,16
879,5
880,11
881,14
882,16
883,11
884,25
885,4
886,25
887,19
888,14
889,14
890,26
891,16
892,4
893,11
894,11
895,14
896,4
897,5
898,5
899,23
900,18
901,5
902,5
903,16
904,28
905,11
906,25
907,8
908,25
909,25
910,25
911,25
912,11
913,25
914,25
915,7
916,4
917,16
918,26
919,19
920,5
921,16
922,25
923,16
924,25
925,0
926,28
927,11
928,4
929,23
930,16
931,14
932,11
933,16
934,14
935,5
936,0
937,5
938,23
939,7
940,25
941,25
942,25
943,11
944,16
945,16
946,16
947,4
948,18
949,16
950,11
951,14
952,28
953,14
954,26
955,16
956,16
957,16
958,11
959,4
960,4
961,16
962,16
963,4
964,15
965,5
966,5
967,11
968,16
969,11
970,25
971,16
972,11
973,16
974,14
975,24
976,11
977,16
978,23
979,11
980,23
981,4
982,4
983,25
984,16
985,25
986,16
987,16
988,16
989,16
990,16
991,16
992,16
993,25
994,28
995,14
996,7
997,16
998,23
999,14
1000,16
1001,11
1002,4
1003,11
1004,14
1005,16
1006,28
1007,0
1008,16
1009,16
1010,7
1011,4
1012,11
1013,3
1014,3
1015,20
1016,4
1017,11
1018,5
1019,7
1020,7
1021,5
1022,5
1023,28
1024,25
1025,4
1026,11
1027,25
1028,4
1029,4
1030,16
1031,11
1032,11
1033,11
1034,11
1035,16
1036,23
1037,4
1038,25
1039,14
1040,11
1041,11
1042,4
1043,5
1044,16
1045,28
1046,11
1047,26
1048,16
1049,26
1050,4
1051,25
1052,7
1053,28
1054,16
1055,28
1056,14
1057,18
1058,18
1059,4
1060,11
1061,11
1062,7
1063,7
1064,11
1065,28
1066,11
1067,14
1068,28
1069,14
1070,11
1071,28
1072,16
1073,4
1074,25
1075,11
1076,11
1077,11
1078,5
1079,11
1080,11
1081,4
1082,11
1083,14
1084,7
1085,23
1086,16
1087,14
1088,11
1089,11
1090,4
1091,11
1092,14
1093,18
1094,14
1095,14
1096,14
1097,16
1098,18
1099,11
1100,11
1101,0
1102,7
1103,11
1104,0
1105,28
1106,18
1107,11
1108,11
1109,11
1110,11
1111,4
1112,16
1113,23
1114,16
1115,4
1116,16
1117,16
1118,16
1119,25
1120,11
1121,16
1122,11
1123,16
1124,4
1125,11
1126,28
1127,16
1128,16
1129,5
1130,5
1131,5
1132,9
1133,0
1134,27
1135,16
1136,11
1137,11
1138,11
1139,4
1140,11
1141,16
1142,18
1143,14
1144,11
1145,14
1146,4
1147,16
1148,25
1149,11
1150,16
1151,11
1152,7
1153,11
1154,7
1155,7
1156,16
1157,14
1158,24
1159,7
1160,23
1161,16
1162,14
1163,14
1164,13
1165,14
1166,25
1167,11
1168,23
1169,14
1170,16
1171,16
1172,11
1173,7
1174,9
1175,11
1176,14
1177,16
1178,5
1179,16
1180,0
1181,4
1182,16
1183,16
1184,16
1185,11
1186,11
1187,11
1188,4
1189,11
1190,16
1191,14
1192,4
1193,7
1194,11
1195,11
1196,4
1197,16
1198,16
1199,4
1200,14
1201,16
1202,14
1203,4
1204,16
1205,11
1206,25
1207,25
1208,25
1209,14
1210,14
1211,11
1212,16
1213,11
1214,11
1215,18
1216,18
1217,11
1218,4
1219,11
1220,11
1221,9
1222,25
1223,16
1224,16
1225,25
1226,4
1227,16
1228,16
1229,25
1230,16
1231,4
1232,5
1233,14
1234,7
1235,5
1236,0
1237,5
1238,5
1239,11
1240,0
1241,16
1242,0
1243,11
1244,5
1245,5
1246,17
1247,17
1248,17
1249,25
1250,28
1251,2
1252,11
1253,16
1254,16
1255,11
1256,19
1257,28
1258,11
1259,0
1260,11
1261,16
1262,11
1263,11
1264,16
1265,11
1266,11
1267,25
1268,11
1269,25
1270,24
1271,14
1272,16
1273,11
1274,0
1275,16
1276,11
1277,5
1278,11
1279,11
1280,5
1281,11
1282,5
1283,5
1284,5
1285,11
1286,5
1287,5
1288,14
1289,16
1290,4
1291,5
1292,4
1293,5
1294,11
1295,5
1296,5
1297,5
1298,16
1299,25
1300,11
1301,4
1302,14
1303,23
1304,11
1305,14
1306,25
1307,11
1308,16
1309,14
1310,7
1311,4
1312,7
1313,0
1314,16
1315,11
1316,4
1317,4
1318,11
1319,14
1320,11
1321,24
1322,11
1323,4
1324,11
1325,11
1326,4
1327,25
1328,25
1329,25
1330,25
1331,25
1332,25
1333,25
1334,25
1335,14
1336,16
1337,23
1338,25
1339,18
1340,14
1341,5
1342,11
1343,18
1344,5
1345,19
1346,19
1347,11
1348,5
1349,5
1350,5
1351,11
1352,5
1353,5
1354,5
1355,19
1356,16
1357,5
1358,5
1359,18
1360,19
1361,11
1362,5
1363,18
1364,0
1365,14
1366,16
1367,5
1368,25
1369,25
1370,16
1371,9
1372,7
1373,16
1374,11
1375,16
1376,14
1377,11
1378,14
1379,25
1380,11
1381,7
1382,23
1383,16
1384,5
1385,5
1386,16
1387,16
1388,23
1389,4
1390,16
1391,16
1392,4
1393,4
1394,28
1395,16
1396,11
1397,4
1398,11
1399,16
1400,11
1401,4
1402,11
1403,25
1404,25
1405,23
1406,11
1407,4
1408,16
1409,3
1410,14
1411,14
1412,4
1413,11
1414,16
1415,0
1416,11
1417,14
1418,11
1419,4
1420,11
1421,11
1422,24
1423,11
1424,11
1425,11
1426,24
1427,8
1428,11
1429,16
1430,6
1431,16
1432,14
1433,14
1434,14
1435,14
1436,14
1437,14
1438,14
1439,4
1440,24
1441,25
1442,11
1443,9
1444,25
1445,24
1446,11
1447,4
1448,4
1449,28
1450,5
1451,0
1452,5
1453,5
1454,5
1455,11
1456,14
1457,5
1458,26
1459,18
1460,18
1461,28
1462,18
1463,18
1464,28
1465,16
1466,0
1467,0
1468,4
1469,11
1470,11
1471,0
1472,18
1473,0
1474,4
1475,5
1476,11
1477,4
1478,4
1479,28
1480,5
1481,4
1482,18
1483,18
1484,14
1485,4
1486,4
1487,28
1488,7
1489,4
1490,16
1491,26
1492,26
1493,26
1494,26
1495,26
1496,26
1497,11
1498,25
1499,25
1500,17
1501,16
1502,4
1503,26
1504,26
1505,14
1506,11
1507,24
1508,16
1509,16
1510,16
1511,16
1512,16
1513,7
1514,16
1515,7
1516,14
1517,8
1518,5
1519,14
1520,11
1521,25
1522,5
1523,18
1524,11
1525,14
1526,11
1527,14
1528,16
1529,14
1530,0
1531,11
1532,28
1533,25
1534,11
1535,18
1536,5
1537,28
1538,0
1539,25
1540,0
1541,14
1542,16
1543,23
1544,16
1545,14
1546,26
1547,26
1548,14
1549,16
1550,26
1551,26
1552,26
1553,26
1554,23
1555,26
1556,5
1557,4
1558,14
1559,28
1560,23
1561,18
1562,16
1563,1
1564,6
1565,11
1566,23
1567,26
1568,26
1569,26
1570,26
1571,4
1572,4
1573,4
1574,2
1575,3
1576,23
1577,26
1578,26
1579,26
1580,26
1581,18
1582,18
1583,23
1584,23
1585,16
1586,26
1587,26
1588,14
1589,26
1590,26
1591,26
1592,26
1593,26
1594,26
1595,26
1596,26
1597,26
1598,26
1599,26
1600,26
1601,26
1602,26
1603,26
1604,26
1605,26
1606,26
1607,25
1608,25
1609,4
1610,25
1611,0
1612,5
1613,4
1614,0
1615,4
1616,4
1617,11
1618,0
1619,11
1620,11
1621,18
1622,16
1623,4
1624,5
1625,16
1626,26
1627,11
1628,18
1629,28
1630,0
1631,0
1632,4
1633,28
1634,0
1635,16
1636,11
1637,18
1638,23
1639,14
1640,4
1641,18
1642,11
1643,4
1644,0
1645,11
1646,9
1647,4
1648,4
1649,8
1650,7
1651,25
1652,11
1653,4
1654,11
1655,11
1656,0
1657,4
1658,24
1659,16
1660,14
1661,11
1662,16
1663,11
1664,17
1665,17
1666,17
1667,17
1668,0
1669,11
1670,5
1671,19
1672,11
1673,14
1674,6
1675,18
1676,4
1677,16
1678,18
1679,11
1680,16
1681,16
1682,16
1683,0
1684,16
1685,11
1686,14
1687,4
1688,11
1689,16
1690,24
1691,11
1692,19
1693,19
1694,9
1695,25
1696,23
1697,26
1698,26
1699,19
1700,17
1701,17
1702,17
1703,17
1704,17
1705,17
1706,17
1707,14
1708,21
1709,19
1710,4
1711,19
1712,5
1713,4
1714,5
1715,21
1716,23
1717,14
1718,24
1719,11
1720,4
1721,4
1722,11
1723,11
1724,16
1725,14
1726,14
1727,11
1728,25
1729,25
1730,19
1731,0
1732,23
1733,25
1734,4
1735,5
1736,5
1737,11
1738,14
1739,24
1740,23
1741,23
1742,25
1743,14
1744,4
1745,17
1746,17
1747,17
1748,17
1749,14
1750,18
1751,6
1752,24
1753,5
1754,14
1755,28
1756,16
1757,14
1758,6
1759,14
1760,25
1761,26
1762,26
1763,4
1764,11
1765,25
1766,16
1767,11
1768,16
1769,4
1770,9
1771,28
1772,19
1773,18
1774,16
1775,3
1776,23
1777,23
1778,23
1779,23
1780,23
1781,23
1782,23
1783,23
1784,23
1785,23
1786,23
1787,23
1788,23
1789,26
1790,26
1791,26
1792,26
1793,26
1794,26
1795,4
1796,4
1797,24
1798,24
1799,21
1800,25
1801,25
1802,14
1803,14
1804,14
1805,16
1806,14
1807,14
1808,8
1809,16
1810,25
1811,25
1812,25
1813,0
1814,25
1815,4
1816,4
1817,25
1818,25
1819,25
1820,25
1821,16
1822,11
1823,11
1824,4
1825,11
1826,11
1827,9
1828,9
1829,9
1830,9
1831,20
1832,4
1833,11
1834,11
1835,14
1836,23
1837,16
1838,24
1839,14
1840,24
1841,20
1842,9
1843,26
1844,23
1845,23
1846,20
1847,20
1848,4
1849,21
1850,24
1851,24
1852,25
1853,11
1854,4
1855,16
1856,16
1857,16
1858,21
1859,21
1860,3
1861,4
1862,25
1863,28
1864,14
1865,4
1866,24
1867,17
1868,14
1869,5
1870,2
1871,26
1872,23
1873,4
1874,25
1875,22
1876,16
1877,26
1878,11
1879,4
1880,26
1881,20
1882,25
1883,21
1884,21
1885,21
1886,23
1887,17
1888,23
1889,4
1890,26
1891,25
1892,11
1893,24
1894,21
1895,5
1896,5
1897,19
1898,28
1899,28
1900,28
1901,5
1902,7
1903,5
1904,28
1905,28
1906,28
1907,28
1908,24
1909,21
1910,24
1911,4
1912,26
1913,24
1914,20
1915,26
1916,16
1917,26
1918,26
1919,11
1920,11
1921,14
1922,14
1923,24
1924,24
1925,24
1926,26
1927,26
1928,24
1929,24
1930,24
1931,17
1932,17
1933,11
1934,11
1935,11
1936,11
1937,11
1938,11
1939,11
1940,11
1941,11
1942,11
1943,11
1944,11
1945,11
1946,11
1947,11
1948,4
1949,16
1950,16
1951,11
1952,26
1953,25
1954,26
1955,10
1956,10
1957,14
1958,26
1959,16
1960,4
1961,26
1962,24
1963,24
1964,24
1965,24
1966,24
1967,8
1968,14
1969,26
1970,26
1971,26
1972,26
1973,16
1974,26
1975,26
1976,26
1977,23
1978,26
1979,23
1980,16
1981,21
1982,21
1983,26
1984,11
1985,26
1986,26
1987,26
1988,26
1989,26
1990,26
1991,0
1992,26
1993,26
1994,26
1995,26
1996,4
1997,4
1998,4
1999,16
2000,11
2001,25
2002,26
2003,26
2004,24
2005,11
2006,21
2007,5
2008,4
2009,25
2010,6
2011,6
2012,25
2013,20
2014,11
2015,25
2016,24
2017,24
2018,23
2019,21
2020,14
2021,4
2022,4
2023,4
2024,14
2025,3
2026,20
2027,20
2028,5
2029,5
2030,21
2031,4
2032,25
2033,5
2034,24
2035,19
2036,24
2037,4
2038,4
2039,4
2040,4
2041,14
2042,23
2043,25
2044,25
2045,11
2046,0
2047,9
2048,18
2049,0
2050,23
2051,25
2052,16
2053,16
2054,26
2055,22
2056,22
2057,4
2058,21
2059,11
2060,24
2061,26
2062,8
2063,25
2064,21
2065,26
2066,11
2067,25
2068,26
2069,10
2070,26
2071,16
2072,4
2073,14
2074,19
2075,24
2076,14
2077,5
2078,23
2079,23
2080,25
2081,18
2082,21
2083,21
2084,11
2085,11
2086,17
2087,21
2088,11
2089,25
2090,23
2091,23
2092,24
2093,24
2094,25
2095,25
2096,25
2097,25
2098,4
2099,24
2100,25
2101,23
2102,11
2103,16
2104,24
2105,15
2106,24
2107,9
2108,14
2109,24
2110,4
2111,4
2112,19
2113,0
2114,5
2115,15
2116,16
2117,28
2118,16
2119,16
2120,21
2121,25
2122,11
2123,17
2124,17
2125,25
2126,8
2127,24
2128,24
2129,11
2130,2
2131,23
2132,23
2133,11
2134,23
2135,19
2136,5
2137,4
2138,11
2139,21
2140,14
2141,23
2142,24
2143,23
2144,23
2145,10
2146,11
2147,14
2148,8
2149,16
2150,23
2151,14
2152,15
2153,14
2154,16
2155,24
2156,16
2157,3
2158,11
2159,5
2160,24
2161,24
2162,11
2163,25
2164,28
2165,11
2166,26
2167,21
2168,8
2169,4
2170,5
2171,11
2172,11
2173,14
2174,4
2175,7
2176,16
2177,27
2178,17
2179,18
2180,18
2181,22
2182,15
2183,11
2184,4
2185,24
2186,24
2187,24
2188,24
2189,24
2190,24
2191,24
2192,24
2193,24
2194,5
2195,5
2196,4
2197,28
2198,28
2199,23
2200,21
2201,0
2202,24
2203,11
2204,18
2205,24
2206,11
2207,4
2208,18
2209,14
2210,16
2211,28
2212,5
2213,6
2214,18
2215,4
2216,28
2217,18
2218,4
2219,14
2220,14
2221,4
2222,5
2223,1
2224,24
2225,14
2226,21
2227,16
2228,11
2229,24
2230,11
2231,17
2232,15
2233,0
2234,21
2235,28
2236,11
2237,18
2238,19
2239,18
2240,16
2241,24
2242,3
2243,11
2244,24
2245,24
2246,8
2247,24
2248,3
2249,2
2250,2
2251,23
2252,23
2253,0
2254,14
2255,21
2256,21
2257,14
2258,24
2259,28
2260,5
2261,16
2262,7
2263,11
2264,0
2265,25
2266,16
2267,24
2268,16
2269,15
2270,24
2271,16
2272,21
2273,20
2274,16
2275,14
2276,23
2277,23
2278,26
2279,11
2280,26
2281,26
2282,25
2283,14
2284,26
2285,26
2286,26
2287,8
2288,8
2289,24
2290,26
2291,23
2292,4
2293,11
2294,24
2295,25
2296,25
2297,25
2298,21
2299,14
2300,24
2301,24
2302,21
2303,11
2304,26
2305,14
2306,14
2307,24
2308,24
2309,24
2310,24
2311,11
2312,11
2313,24
2314,24
2315,24
2316,0
2317,1
2318,4
2319,24
2320,16
2321,26
2322,21
2323,8
2324,4
2325,6
2326,28
2327,16
2328,3
2329,3
2330,16
2331,16
2332,5
2333,4
2334,28
2335,0
2336,11
2337,23
2338,23
2339,26
2340,9
2341,23
2342,24
2343,21
2344,22
2345,21
2346,16
2347,16
2348,24
2349,8
2350,18
2351,26
2352,26
2353,19
2354,26
2355,4
2356,21
2357,21
2358,21
2359,26
2360,21
2361,21
2362,24
2363,21
2364,21
2365,21
2366,21
2367,24
2368,23
2369,23
2370,23
2371,21
2372,24
2373,14
2374,19
2375,24
2376,26
2377,26
2378,23
2379,23
2380,23
2381,4
2382,4
2383,26
2384,4
2385,4
2386,26
2387,14
2388,26
2389,14
2390,26
2391,23
2392,26
2393,24
2394,26
2395,26
2396,14
2397,14
2398,26
2399,4
2400,26
2401,26
2402,26
2403,26
2404,26
2405,26
2406,26
2407,26
2408,26
2409,26
2410,23
2411,16
2412,8
2413,26
2414,26
2415,14
2416,14
2417,14
2418,26
2419,26
2420,26
2421,26
2422,19
2423,25
2424,4
2425,17
2426,5
2427,0
2428,16
2429,14
2430,16
2431,14
2432,5
2433,4
2434,4
2435,1
2436,19
2437,18
2438,0
2439,11
2440,5
2441,5
2442,4
2443,16
2444,17
2445,0
2446,0
2447,19
2448,11
2449,8
2450,3
2451,24
2452,23
2453,11
2454,24
2455,19
2456,26
2457,14
2458,23
2459,18
2460,21
2461,24
2462,14
2463,23
2464,11
2465,11
2466,9
2467,18
2468,25
2469,4
2470,11
2471,16
2472,14
2473,3
2474,3
2475,24
2476,25
2477,16
2478,11
2479,16
2480,14
2481,11
2482,4
2483,8
2484,25
2485,11
2486,23
2487,14
2488,6
2489,11
2490,4
2491,0
2492,23
2493,16
2494,28
2495,16
2496,26
2497,16
2498,11
2499,11
2500,5
2501,26
2502,26
2503,26
2504,11
2505,11
2506,16
2507,16
2508,11
2509,20
2510,4
2511,4
2512,11
2513,11
2514,14
2515,28
2516,16
2517,11
2518,23
2519,16
2520,26
2521,26
2522,26
2523,26
2524,26
2525,26
2526,16
2527,7
2528,9
2529,14
2530,11
2531,11
2532,18
2533,11
2534,18
2535,11
2536,4
2537,7
2538,17
2539,17
2540,25
2541,4
2542,11
2543,11
2544,20
2545,11
2546,3
2547,19
2548,7
2549,23
2550,23
2551,7
2552,11
2553,25
2554,14
2555,14
2556,3
2557,15
2558,0
2559,5
2560,0
2561,25
2562,25
2563,11
2564,14
2565,16
2566,4
2567,16
2568,16
2569,16
2570,16
2571,17
2572,4
2573,14
2574,28
2575,17
2576,17
2577,17
2578,17
2579,19
2580,19
2581,26
2582,26
2583,26
2584,26
2585,26
2586,26
2587,16
2588,24
2589,4
2590,0
2591,5
2592,18
2593,24
2594,23
2595,11
2596,11
2597,11
2598,19
2599,25
2600,4
2601,28
2602,11
2603,4
2604,11
2605,11
2606,17
2607,11
2608,11
2609,18
2610,5
2611,19
2612,19
2613,20
2614,23
2615,0
2616,28
2617,26
2618,28
2619,5
2620,18
2621,4
2622,25
2623,4
2624,6
2625,16
2626,11
2627,14
2628,16
2629,24
2630,18
2631,17
2632,18
2633,1
2634,25
2635,25
2636,16
2637,17
2638,4
2639,25
2640,0
2641,3
2642,1
2643,16
2644,25
2645,16
2646,26
2647,26
2648,16
2649,1
2650,8
2651,11
2652,28
2653,14
2654,28
2655,28
2656,16
2657,25
2658,25
2659,14
2660,4
2661,23
2662,16
2663,4
2664,14
2665,11
2666,17
2667,16
2668,11
2669,14
2670,4
2671,4
2672,25
2673,11
2674,11
2675,16
2676,8
2677,16
2678,14
2679,4
2680,7
2681,14
2682,16
2683,11
2684,11
2685,11
2686,25
2687,4
2688,28
2689,22
2690,21
2691,21
2692,22
2693,21
2694,21
2695,21
2696,15
2697,22
2698,21
2699,28
2700,4
2701,11
2702,5
2703,7
2704,8
2705,14
2706,5
2707,4
2708,0
2709,16
2710,11
2711,11
2712,17
2713,26
2714,3
2715,23
2716,19
2717,9
2718,3
2719,4
2720,11
2721,11
2722,18
2723,16
2724,23
2725,16
2726,14
2727,4
2728,16
2729,19
2730,14
2731,7
2732,14
2733,4
2734,5
2735,16
2736,25
2737,16
2738,14
2739,16
2740,11
2741,7
2742,8
2743,11
2744,14
2745,26
2746,5
2747,8
2748,11
2749,4
2750,5
2751,11
2752,4
2753,11
2754,14
2755,20
2756,20
2757,20
2758,11
2759,0
2760,28
2761,28
2762,0
2763,23
2764,16
2765,25
2766,25
2767,25
2768,25
2769,16
2770,3
2771,22
2772,21
2773,16
2774,4
2775,11
2776,14
2777,5
2778,5
2779,28
2780,24
2781,24
2782,25
2783,24
2784,7
2785,26
2786,25
2787,18
2788,26
2789,16
2790,16
2791,14
2792,14
2793,23
2794,14
2795,23
2796,14
2797,11
2798,14
2799,17
2800,5
2801,17
2802,14
2803,17
2804,4
2805,28
2806,16
2807,14
2808,16
2809,8
2810,0
2811,26
2812,26
2813,7
2814,11
2815,3
2816,4
2817,16
2818,16
2819,17
2820,16
2821,4
2822,16
2823,4
2824,4
2825,4
2826,14
2827,25
2828,25
2829,26
2830,26
2831,11
2832,4
2833,5
2834,16
2835,7
2836,4
2837,4
2838,5
2839,4
2840,4
2841,16
2842,28
2843,24
2844,16
2845,25
2846,16
2847,26
2848,4
2849,14
2850,0
2851,0
2852,4
2853,16
2854,11
2855,4
2856,0
2857,11
2858,4
2859,4
2860,11
2861,5
2862,7
2863,5
2864,5
2865,17
2866,17
2867,17
2868,17
2869,16
2870,28
2871,26
2872,11
2873,11
2874,0
2875,26
2876,26
2877,26
2878,8
2879,16
2880,11
2881,11
2882,11
2883,28
2884,11
2885,4
2886,16
2887,23
2888,16
2889,7
2890,11
2891,11
2892,11
2893,4
2894,18
2895,10
2896,2
2897,20
2898,20
2899,2
2900,4
2901,18
2902,16
2903,4
2904,5
2905,5
2906,5
2907,25
2908,16
2909,0
2910,11
2911,4
2912,9
2913,11
2914,19
2915,11
2916,28
2917,26
2918,26
2919,26
2920,26
2921,26
2922,7
2923,11
2924,11
2925,11
2926,16
2927,11
2928,14
2929,16
2930,25
2931,19
2932,17
2933,14
2934,4
2935,11
2936,18
2937,11
2938,14
2939,18
2940,14
2941,11
2942,11
2943,14
2944,4
2945,14
2946,4
2947,14
2948,14
2949,11
2950,25
2951,0
2952,17
2953,17
2954,24
2955,24
2956,16
2957,16
2958,28
2959,24
2960,6
2961,16
2962,11
2963,11
2964,11
2965,4
2966,23
2967,17
2968,17
2969,17
2970,17
2971,14
2972,24
2973,11
2974,23
2975,4
2976,26
2977,25
2978,25
2979,3
2980,7
2981,4
2982,16
2983,4
2984,7
2985,11
2986,11
2987,23
2988,11
2989,14
2990,11
2991,4
2992,4
2993,11
2994,25
2995,4
2996,19
2997,23
